rank,title,author,rating,ratings_count,score,votes,book_url,page
44,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,3.82,1210650.0,26584,283.0,https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me,1
45,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.2,199463.0,26299,281.0,https://www.goodreads.com/book/show/2373.The_Bone_Collector,1
46,The Couple Next Door,Shari Lapena,3.8,744196.0,26039,279.0,https://www.goodreads.com/book/show/28815474-the-couple-next-door,1
47,A Flicker in the Dark,Stacy Willingham,3.96,646079.0,25331,271.0,https://www.goodreads.com/book/show/57693172-a-flicker-in-the-dark,1
48,No Exit,Taylor Adams,3.97,228044.0,25137,268.0,https://www.goodreads.com/book/show/35522836-no-exit,1
49,Brave New World,Aldous Huxley,3.98,2150011.0,25089,273.0,https://www.goodreads.com/book/show/5129.Brave_New_World,1
50,Rebecca,Daphne du Maurier,4.25,762761.0,24695,257.0,https://www.goodreads.com/book/show/17899948-rebecca,1
51,Life of Pi,Yann Martel,3.95,1786217.0,21707,224.0,https://www.goodreads.com/book/show/4214.Life_of_Pi,1
52,The Book Thief,Markus Zusak,4.39,2974125.0,19203,206.0,https://www.goodreads.com/book/show/19063.The_Book_Thief,1
53,Atonement,Ian McEwan,3.96,577814.0,18961,195.0,https://www.goodreads.com/book/show/6867.Atonement,1
54,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2812422.0,17081,180.0,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,1
55,The Thirteenth Tale,Diane Setterfield,3.98,330864.0,16860,175.0,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,1
56,Jane Eyre,Charlotte Brontë,4.16,2409684.0,16385,177.0,https://www.goodreads.com/book/show/10210.Jane_Eyre,1
57,Nineteen Minutes,Jodi Picoult,4.18,437018.0,16371,169.0,https://www.goodreads.com/book/show/14866.Nineteen_Minutes,1
58,The Kite Runner,Khaled Hosseini,4.36,3605113.0,15964,168.0,https://www.goodreads.com/book/show/77203.The_Kite_Runner,1
59,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.76,1914374.0,15629,163.0,https://www.goodreads.com/book/show/1162543.Breaking_Dawn,1
60,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,795128.0,15621,171.0,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,1
61,The Host,Stephenie Meyer,3.87,1058374.0,14838,156.0,https://www.goodreads.com/book/show/1656001.The_Host,1
62,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11788488.0,14491,157.0,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,1
63,Water for Elephants,Sara Gruen,4.12,1725820.0,13992,148.0,https://www.goodreads.com/book/show/43641.Water_for_Elephants,1
64,The Westing Game,Ellen Raskin,3.98,241197.0,13654,144.0,https://www.goodreads.com/book/show/902.The_Westing_Game,1
65,"Holes (Holes, #1)",Louis Sachar,4.02,1399299.0,13574,144.0,https://www.goodreads.com/book/show/38709.Holes,1
66,Watchmen,Alan Moore,4.39,606239.0,13173,136.0,https://www.goodreads.com/book/show/472331.Watchmen,1
67,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.06,2213535.0,12875,138.0,https://www.goodreads.com/book/show/256683.City_of_Bones,1
68,The Picture of Dorian Gray,Oscar Wilde,4.13,1996171.0,12540,135.0,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,1
69,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.13,3866837.0,12071,134.0,https://www.goodreads.com/book/show/7260188-mockingjay,1
70,The Lovely Bones,Alice Sebold,3.86,2487930.0,11953,131.0,https://www.goodreads.com/book/show/12232938-the-lovely-bones,1
71,"The Firm (Penguin Readers, Level 5)",Robin Waterfield,4.07,640250.0,11611,125.0,https://www.goodreads.com/book/show/5358.The_Firm,1
72,The Wasp Factory,Iain Banks,3.76,115235.0,11166,122.0,https://www.goodreads.com/book/show/567678.The_Wasp_Factory,1
73,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.31,750786.0,11097,118.0,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,1
74,Murder on Family Grounds (Mary Wandwalker #3),Susan Rowland,4.29,16686.0,10892,114.0,https://www.goodreads.com/book/show/205338104-murder-on-family-grounds,1
75,Invisible Monsters,Chuck Palahniuk,3.99,154246.0,10470,113.0,https://www.goodreads.com/book/show/36236125-invisible-monsters,1
76,"Presumed Innocent (Kindle County Legal Thriller, #1)",Scott Turow,4.09,128502.0,10239,108.0,https://www.goodreads.com/book/show/425029.Presumed_Innocent,1
77,Tell No One,Harlan Coben,4.05,199760.0,10203,109.0,https://www.goodreads.com/book/show/43933.Tell_No_One,1
78,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4661641.0,9911,110.0,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,1
79,Lord of the Flies,William Golding,3.71,3310059.0,9860,108.0,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,1
80,Girl With Two Names,Patrick Guy Daniels,5.0,48.0,8786,88.0,https://www.goodreads.com/book/show/247523429-girl-with-two-names,1
81,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.77,673106.0,8710,94.0,https://www.goodreads.com/book/show/6411961-the-lost-symbol,1
82,The Secret History,Donna Tartt,4.14,1119050.0,8656,93.0,https://www.goodreads.com/book/show/29044.The_Secret_History,1
83,The Name of the Rose,Umberto Eco,4.14,406492.0,8311,89.0,https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,1
83,Twenty Years Later,Charlie Donlea,4.16,211782.0,8311,87.0,https://www.goodreads.com/book/show/57645345-twenty-years-later,1
85,The Silent Patient,Alex Michaelides,4.16,3596691.0,8141,88.0,https://www.goodreads.com/book/show/40097951-the-silent-patient,1
86,The Boy in the Striped Pajamas,John Boyne,4.16,1004074.0,7936,84.0,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas,1
87,American Psycho,Bret Easton Ellis,3.8,381134.0,7852,91.0,https://www.goodreads.com/book/show/28676.American_Psycho,1
88,Great Expectations,Charles Dickens,3.8,894072.0,7516,82.0,https://www.goodreads.com/book/show/2623.Great_Expectations,1
89,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,4.0,278760.0,7422,81.0,https://www.goodreads.com/book/show/14995.Odd_Thomas,1
90,Fahrenheit 451,Ray Bradbury,3.97,2982767.0,7353,87.0,https://www.goodreads.com/book/show/13079982-fahrenheit-451,1
91,The Gift of the Magi,O. Henry,4.11,102871.0,7073,77.0,https://www.goodreads.com/book/show/143534.The_Gift_of_the_Magi,1
92,A Clockwork Orange,Anthony Burgess,4.0,791427.0,7014,81.0,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,1
93,I Am Legend and Other Stories,Richard Matheson,4.0,138005.0,7011,73.0,https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories,1
94,A Night to Forget,Robert Laurie,4.75,118.0,6998,70.0,https://www.goodreads.com/book/show/240677315-a-night-to-forget,1
95,Murder In The Blue,P.N. Johnson,4.93,85.0,6932,70.0,https://www.goodreads.com/book/show/250641196-murder-in-the-blue,1
96,Wuthering Heights,Emily Brontë,3.89,2287737.0,6921,78.0,https://www.goodreads.com/book/show/6185.Wuthering_Heights,1
97,Run to the Blue,P.N. Johnson,4.59,157.0,6872,69.0,https://www.goodreads.com/book/show/64365519-run-to-the-blue,1
98,Fingersmith,Sarah Waters,4.02,123657.0,6867,71.0,https://www.goodreads.com/book/show/8913370-fingersmith,1
99,Mademoiselle le Sleuth,Theasa Tuohy,4.31,6401.0,6660,72.0,https://www.goodreads.com/book/show/220768368-mademoiselle-le-sleuth,1
100,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.78,453184.0,6505,71.0,https://www.goodreads.com/book/show/2459785.In_the_Woods,1
101,"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.12,186020.0,6471,74.0,https://www.goodreads.com/book/show/135836.Trainspotting,2
102,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,402748.0,6373,70.0,https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles,2
103,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,3.85,95760.0,6182,64.0,https://www.goodreads.com/book/show/448873.The_Thief,2
104,Fruit Loop Killer: A Mark Jeremy Novel,Terry Cavanaugh,4.58,45.0,6067,61.0,https://www.goodreads.com/book/show/239271139-fruit-loop-killer,2
105,"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.96,127836.0,6058,66.0,https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley,2
106,"The End (A Series of Unfortunate Events, #13)",Lemony Snicket,4.04,119353.0,6048,64.0,https://www.goodreads.com/book/show/65112.The_End,2
107,Factotum,Charles Bukowski,3.92,77894.0,5999,69.0,https://www.goodreads.com/book/show/497199.Factotum,2
108,"The Silence of the Lambs (Hannibal Lecter, #2)",Thomas Harris,4.26,601035.0,5991,65.0,https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs,2
109,"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,4.09,133995.0,5906,65.0,https://www.goodreads.com/book/show/19494.The_Spy_Who_Came_In_from_the_Cold,2
110,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,3224246.0,5895,67.0,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,2
111,Plain Truth,Jodi Picoult,4.01,202619.0,5892,62.0,https://www.goodreads.com/book/show/14864.Plain_Truth,2
112,The Forgotten Garden,Kate Morton,4.16,244439.0,5875,63.0,https://www.goodreads.com/book/show/3407877-the-forgotten-garden,2
113,Defending Jacob,William Landay,4.0,315896.0,5663,60.0,https://www.goodreads.com/book/show/11367726-defending-jacob,2
114,"Deeper Than the Dead (Vera Boyett, #1)",Debra Webb,4.04,24682.0,5583,59.0,https://www.goodreads.com/book/show/198190467-deeper-than-the-dead,2
115,"American Gods (American Gods, #1)",Neil Gaiman,4.1,1004095.0,5550,61.0,https://www.goodreads.com/book/show/30165203-american-gods,2
116,Listen for the Lie,Amy Tintera,4.06,632968.0,5503,58.0,https://www.goodreads.com/book/show/127279000-listen-for-the-lie,2
117,Lunar Park,Bret Easton Ellis,3.65,31479.0,5497,63.0,https://www.goodreads.com/book/show/4031.Lunar_Park,2
118,The Bridge to Rembrandt,Nelson K. Foley,4.25,6052.0,5432,58.0,https://www.goodreads.com/book/show/58549182-the-bridge-to-rembrandt,2
119,"Skagboys (Mark Renton, #1)",Irvine Welsh,4.07,18430.0,5316,60.0,https://www.goodreads.com/book/show/12926063-skagboys,2
120,I Am the Messenger,Markus Zusak,4.02,172491.0,5168,56.0,https://www.goodreads.com/book/show/19057.I_Am_the_Messenger,2
121,The Help,Kathryn Stockett,4.47,3093539.0,5003,56.0,https://www.goodreads.com/book/show/4667024-the-help,2
122,"On Her Watch (Bree Taggert, #8)",Melinda Leigh,4.49,22147.0,4985,53.0,https://www.goodreads.com/book/show/61138863-on-her-watch,2
123,"Oedipus Rex (The Theban Plays, #1)",Sophocles,3.73,243476.0,4942,52.0,https://www.goodreads.com/book/show/1554.Oedipus_Rex,2
124,"Echo Road (Mercy Kilpatrick, #9; Bree Taggert, #8.5)",Kendra Elliot,4.53,21560.0,4857,52.0,https://www.goodreads.com/book/show/201788158-echo-road,2
125,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.04,1645363.0,4854,54.0,https://www.goodreads.com/book/show/119322.The_Golden_Compass,2
126,"Death at La Fenice (Commissario Brunetti, #1)",Donna Leon,3.89,44610.0,4824,52.0,https://www.goodreads.com/book/show/68099.Death_at_La_Fenice,2
127,The Moonstone,Wilkie Collins,3.91,101168.0,4809,52.0,https://www.goodreads.com/book/show/6138.The_Moonstone,2
128,Sharp Objects,Gillian Flynn,4.0,1278579.0,4741,54.0,https://www.goodreads.com/book/show/18045891-sharp-objects,2
129,"The Fourth Monkey (4MK Thriller, #1)",J.D. Barker,4.25,101033.0,4725,50.0,https://www.goodreads.com/book/show/31125554-the-fourth-monkey,2
130,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,182261.0,4699,51.0,https://www.goodreads.com/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie,2
131,The Doomsday Butcher (Cole Chambers FBI Profiler Thrillers #1),S.E. Stitcher,4.32,4666.0,4610,48.0,https://www.goodreads.com/book/show/225578897-the-doomsday-butcher,2
132,"Passions in Death (In Death, #59)",J.D. Robb,4.27,23419.0,4608,49.0,https://www.goodreads.com/book/show/203578776-passions-in-death,2
133,"Dangerous Play (Kate Green, #2)",Elise Hart Kipness,4.26,3350.0,4512,48.0,https://www.goodreads.com/book/show/198327636-dangerous-play,2
134,The House at Riverton,Kate Morton,3.96,127837.0,4452,48.0,https://www.goodreads.com/book/show/1278752.The_House_at_Riverton,2
135,"And Only to Deceive (Lady Emily, #1)",Tasha Alexander,3.77,22483.0,4439,48.0,https://www.goodreads.com/book/show/288159.And_Only_to_Deceive,2
136,Journey's Paradox (Journey Russo FBI Mystery #6),Mary Stone,4.58,2548.0,4411,47.0,https://www.goodreads.com/book/show/217907238-journey-s-paradox,2
137,"A Curious Beginning (Veronica Speedwell, #1)",Deanna Raybourn,3.96,62774.0,4388,47.0,https://www.goodreads.com/book/show/28186322-a-curious-beginning,2
138,"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,3.89,296117.0,4365,48.0,https://www.goodreads.com/book/show/338691.Still_Life,2
139,The Pact,Jodi Picoult,4.03,332250.0,4304,47.0,https://www.goodreads.com/book/show/10916.The_Pact,2
140,"The Reaping (Steinbeck and Reed, #2)",Jess Lourey,4.06,15878.0,4265,45.0,https://www.goodreads.com/book/show/198712881-the-reaping,2
141,The Swimmer,Loreth Anne White,4.11,29455.0,4181,44.0,https://www.goodreads.com/book/show/206766189-the-swimmer,2
142,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.12,322748.0,4150,46.0,https://www.goodreads.com/book/show/131359.Death_on_the_Nile,2
143,"Stripped Bare (Kate Fox, #1)",Shannon Baker,4.03,8583.0,4130,44.0,https://www.goodreads.com/book/show/56198498-stripped-bare,2
144,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1631959.0,4116,48.0,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,2
145,"Cocaine Blues (Phryne Fisher, #1)",Kerry Greenwood,3.84,30751.0,4096,44.0,https://www.goodreads.com/book/show/41022009-cocaine-blues,2
146,"The Anatomist's Wife (Lady Darby Mystery, #1)",Anna Lee Huber,3.96,20316.0,4080,43.0,https://www.goodreads.com/book/show/13542496-the-anatomist-s-wife,2
147,"The Mermaids Singing (Tony Hill & Carol Jordan, #1)",Val McDermid,3.95,28659.0,4055,43.0,https://www.goodreads.com/book/show/459386.The_Mermaids_Singing,2
148,"Being a Witch, and Other Things I Didn't Ask For",Sara Pascoe,4.27,27014.0,3965,42.0,https://www.goodreads.com/book/show/34186576-being-a-witch-and-other-things-i-didn-t-ask-for,2
149,"Her Royal Spyness (Her Royal Spyness Mysteries, #1)",Rhys Bowen,3.83,42588.0,3951,42.0,https://www.goodreads.com/book/show/383514.Her_Royal_Spyness,2
150,"The Somerset Slayings (DI Haig Crime Thrillers, #1)",David J. Gatward,4.32,4184.0,3935,42.0,https://www.goodreads.com/book/show/210263630-the-somerset-slayings,2
151,"Vera Wong's Unsolicited Advice for Murderers (Vera Wong, #1)",Jesse Q. Sutanto,4.01,236446.0,3910,41.0,https://www.goodreads.com/book/show/61827543-vera-wong-s-unsolicited-advice-for-murderers,2
152,"The Nowhere Man (Orphan X, #2)",Gregg Hurwitz,4.16,33260.0,3905,41.0,https://www.goodreads.com/book/show/40996287-the-nowhere-man,2
153,Kornelia,Paloma Estrada,4.81,74.0,3895,39.0,https://www.goodreads.com/book/show/239100106-kornelia,2
154,True North: The Complete Trilogy,Keith Landry,4.68,60.0,3891,39.0,https://www.goodreads.com/book/show/249015135-true-north,2
155,"Birdman (Jack Caffery, #1)",Mo Hayder,3.89,27111.0,3883,42.0,https://www.goodreads.com/book/show/130260.Birdman,2
156,What Lies in the Woods,Kate Alice Marshall,3.94,217440.0,3815,40.0,https://www.goodreads.com/book/show/60784373-what-lies-in-the-woods,2
157,"A Lady's Guide to Etiquette and Murder (Countess of Harleigh Mystery, #1)",Dianne Freeman,3.82,17476.0,3789,40.0,https://www.goodreads.com/book/show/36630895-a-lady-s-guide-to-etiquette-and-murder,2
158,"Hart's Ridge (Hart's Ridge, #1)",Kay Bratt,4.31,20091.0,3781,40.0,https://www.goodreads.com/book/show/62711955-hart-s-ridge,2
159,Gentlemen and Players,Joanne Harris,3.95,19618.0,3779,39.0,https://www.goodreads.com/book/show/15102.Gentlemen_and_Players,2
160,Atlas Shrugged,Ayn Rand,3.69,411830.0,3773,41.0,https://www.goodreads.com/book/show/662.Atlas_Shrugged,2
161,All the Sinners Bleed,S.A. Cosby,4.19,148524.0,3754,39.0,https://www.goodreads.com/book/show/61884832-all-the-sinners-bleed,2
162,"Kiss the Girls (Alex Cross, #2)",James Patterson,4.01,359294.0,3753,44.0,https://www.goodreads.com/book/show/13148.Kiss_the_Girls,2
163,"Every Dead Thing (Charlie Parker, #1)",John Connolly,3.95,34791.0,3746,40.0,https://www.goodreads.com/book/show/175242.Every_Dead_Thing,2
164,"Bruno, Chief of Police (Bruno, Chief of Police, #1)",Martin Walker,3.88,26103.0,3726,39.0,https://www.goodreads.com/book/show/3265305-bruno-chief-of-police,2
165,Les Misérables,Victor Hugo,4.22,864499.0,3724,41.0,https://www.goodreads.com/book/show/24280.Les_Mis_rables,2
166,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.27,1028763.0,3704,43.0,https://www.goodreads.com/book/show/3777732-city-of-glass,2
167,"Executive Orders (Jack Ryan, #8)",Tom Clancy,4.13,54538.0,3695,38.0,https://www.goodreads.com/book/show/19675.Executive_Orders,2
168,The Last Thing She Ever Did,Gregg Olsen,4.04,52844.0,3687,39.0,https://www.goodreads.com/book/show/35158801-the-last-thing-she-ever-did,2
169,"The Butterfly Garden (The Collector, #1)",Dot Hutchison,4.08,317691.0,3631,39.0,https://www.goodreads.com/book/show/29981261-the-butterfly-garden,2
170,"How to Solve Your Own Murder (Castle Knoll Files, #1)",Kristen Perrin,3.79,138577.0,3626,38.0,https://www.goodreads.com/book/show/181350367-how-to-solve-your-own-murder,2
171,"The Sum of All Fears (Jack Ryan, #6)",Tom Clancy,4.09,67937.0,3624,39.0,https://www.goodreads.com/book/show/34993.The_Sum_of_All_Fears,2
172,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.3,4622308.0,3610,43.0,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,2
173,The Fault in Our Stars,John Green,4.12,5875602.0,3595,41.0,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,2
173,The Patient's Secret,Loreth Anne White,4.23,74672.0,3595,38.0,https://www.goodreads.com/book/show/57694667-the-patient-s-secret,2
175,"The Crucifix Killer (Robert Hunter, #1)",Chris Carter,4.28,45264.0,3555,38.0,https://www.goodreads.com/book/show/6479723-the-crucifix-killer,2
176,"The Puppet Show (Washington Poe, #1)",M.W. Craven,4.31,27496.0,3542,37.0,https://www.goodreads.com/book/show/39346652-the-puppet-show,2
177,The Count of Monte Cristo,Alexandre Dumas,4.34,1080128.0,3540,40.0,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,2
178,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.05,444081.0,3512,41.0,https://www.goodreads.com/book/show/7869.The_Bourne_Identity,2
179,"The Marlow Murder Club (Marlow Murder Club, #1)",Robert Thorogood,3.79,87835.0,3486,37.0,https://www.goodreads.com/book/show/50576230-the-marlow-murder-club,2
180,The Chestnut Man,Søren Sveistrup,4.21,92096.0,3476,37.0,https://www.goodreads.com/book/show/41154336-the-chestnut-man,2
181,Steel Blood,Gabriel F.W. Koch,4.32,7241.0,3466,39.0,https://www.goodreads.com/book/show/215598873-steel-blood,2
182,Deception Point,Dan Brown,3.77,709965.0,3423,38.0,https://www.goodreads.com/book/show/976.Deception_Point,2
183,"UNSUB (UNSUB, #1)",Meg Gardiner,4.05,18007.0,3413,36.0,https://www.goodreads.com/book/show/32811580-unsub,2
184,The Erkeley Shadows,Michael Wyndham Thomas,4.3,8035.0,3402,37.0,https://www.goodreads.com/book/show/202369408-the-erkeley-shadows,2
185,The Alchemist,Paulo Coelho,3.92,3744336.0,3401,38.0,https://www.goodreads.com/book/show/18144590-the-alchemist,2
186,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,4.12,392989.0,3396,38.0,https://www.goodreads.com/book/show/19691.The_Hunt_for_Red_October,2
187,The Double Bind,Chris Bohjalian,3.64,30933.0,3380,35.0,https://www.goodreads.com/book/show/126807.The_Double_Bind,2
188,Never Let Me Go,Kazuo Ishiguro,3.85,910706.0,3310,38.0,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,2
189,We Were Liars,E. Lockhart,3.66,1479837.0,3282,37.0,https://www.goodreads.com/book/show/16143347-we-were-liars,2
